NodeNo,MNI_X,MNI_Y,MNI_Z
1,13.9,56.8,-16.6
2,9.6,17.8,-19.5
3,5.1,34.9,-17.4
4,15.6,34.1,-22.6
5,8.2,45.9,-1.7
6,14.6,64.7,3.6
7,30.5,54.9,-3.5
8,44.6,46.2,-4.9
9,28.9,51.1,18.7
10,8.4,53.3,23.9
11,37.6,35.4,31.1
12,14.3,36.9,48.9
13,23.9,30.7,36.4
14,40.7,14.5,48.2
15,6.7,21.4,31.5
16,53.6,24.8,0.9
17,33.4,37.3,-16.4
18,26.6,19.6,-21.3
19,48.3,35.7,15.1
20,37,20.8,5.9
21,55.4,9.6,22.2
22,40,17.6,29.2
23,57.8,-8.3,27.3
24,6,-22.3,65.6
25,7,-8.1,52.9
26,26.3,-12.9,66.2
27,49.2,-4.5,48.1
28,6.1,14,48.7
29,13.7,6.3,65.4
30,25.2,12.4,49.4
31,39.7,3.4,34
32,32,-5.4,52.1
33,42,-23.4,53.4
34,41.8,5,-7.6
35,41.4,3.5,7.2
36,37.5,21.1,-10.1
37,38.3,-12.5,-1.1
38,32.4,-39.2,49.6
39,20,-33.2,69.8
40,43.3,-10.8,13.9
41,25.2,-52.4,68.1
42,14.8,-68.4,34.9
43,31.6,-60.8,49.2
44,7.5,-57.3,61.8
45,52.8,-27.2,40.9
46,58,-29.3,19.5
47,54.2,-45.2,36.9
48,47.8,-61.6,34.7
49,41.4,-75.3,28
50,48.9,-58.1,14.4
51,27.2,11.6,-39.2
52,40,18.9,-34.2
53,52.8,10.9,-21.8
54,50,-33.8,-0.7
55,61.3,-22.9,-22.4
56,54.5,-7.7,-31.5
57,46.8,4,-39.8
58,40.3,-11.3,-35.8
59,43.4,-26.5,-24.6
60,31.5,0.7,-44.4
61,59.2,-3.4,2.7
62,39.9,-25.6,14.4
63,61.8,-23.8,-2.8
64,56.5,-8.5,-14.3
65,59.3,-43.8,8.5
66,46.5,-59.9,-14.8
67,36.4,-69.1,-17.5
68,25.2,-44.6,-12.2
69,55.2,-56.3,-4.8
70,60.8,-43.3,-17.6
71,41.6,-45.7,-22.6
72,21,-63.7,-9
73,30.1,-82.9,20.5
74,45.1,-74.3,2.6
75,18.9,-81.8,41.5
76,17.9,-83.4,-11.3
77,7.7,-75,25
78,23.7,-96,6.5
79,7,-75.7,-2.8
80,7.8,-88.6,11.9
81,31.2,-91.8,-10.8
82,14.6,-68.3,8.3
83,7.8,34.7,17.1
84,5.3,-1,35.6
85,5.1,-38.9,27
86,12.3,-57.2,18.1
87,28.4,-53.8,7.1
88,7,-18.8,29.8
89,7.8,-23.1,44.9
90,6.2,-57.4,38.2
91,8.3,-39.9,48.1
92,31.2,3.7,-21.6
93,28.8,-36.9,0
94,35.6,-14.7,-18.4
95,28,-28.4,-13.7
96,29.3,-19.6,-26.3
97,24.6,-2.6,-30.7
98,14.6,-46.1,2.8
99,19.3,-7.7,-14.8
100,32.2,-78.5,-40.4
101,6.1,-50.7,-12.3
102,39.1,-74.9,-29.7
103,13.7,-40.1,-25.4
104,23.5,-35.9,-43
105,6.9,-67.9,-37.8
106,7.1,-69,-20.9
107,46,-46.5,-42.4
108,16.2,-47.2,-52.3
109,23.4,-59.3,-52.1
110,21.1,-54.8,-23.8
111,11.7,-84.1,-34.6
112,19.6,-73.5,-50
113,36.7,-57.1,-32.8
114,23,-71.8,-29.1
115,7.6,-56.7,-50.8
116,41.9,-64,-49.2
117,7.1,-53.7,-34.4
118,33.8,-47.2,-53.9
119,30.4,-36.4,-31.1
120,21.2,-36.4,22.6
121,12.7,12.9,11.5
122,13.7,-4.2,20.9
123,12.6,20.2,-0.7
124,26.6,6.3,0.1
125,14,8.3,-9.5
126,10.5,-26.8,-2.2
127,12.3,-27.7,13.5
128,5.5,-9.7,5.2
129,4.7,-37.2,-53
130,9.7,-18.7,-30.7
131,6,-22.2,-42.3
132,6.3,-24.9,-17.5
133,7.5,-34.2,-37.3
134,-5.4,29.1,-10.1
135,-18.2,19,-21
136,-5.8,18.2,-21.6
137,-8.2,39.7,-21.4
138,-6.9,48.3,-5.7
139,-18.2,57,-14.3
140,-6,48.1,11.7
141,-11.7,65.1,4.2
142,-29.2,54.3,2.5
143,-42.7,47.3,-6.9
144,-28.8,50.1,21.7
145,-10.1,55.7,30.2
146,-27.3,34.1,36.4
147,-46.1,28.2,26.8
148,-11.2,34.3,51.5
149,-39.3,17.2,46.7
150,-5,17.7,46.1
151,-46.2,28.2,-7.1
152,-28.4,36,-15.6
153,-32,20.5,-16
154,-43,42,11
155,-32.5,22.1,5.8
156,-53.1,18.4,10.6
157,-46.2,7.9,28.6
158,-41.6,-14.7,44.8
159,-58.1,-5.6,27.2
160,-16.2,-19.2,69.5
161,-6.5,-4.3,47.6
162,-9.1,0.4,66.5
163,-57,-3.4,6.8
164,-23.2,10.7,53.6
165,-45.8,-0.4,49.3
166,-27.6,-9.1,55.9
167,-35.9,-23.3,65.6
168,-39.1,1.7,9.5
169,-38.7,8.1,-4.8
170,-37.7,-12.9,-1.4
171,-50.6,-23.8,41.4
172,-23.5,-31.6,63.6
173,-41.2,-15.6,14.5
174,-7.4,-34.1,67.5
175,-25.4,-54.7,64
176,-9.5,-71,31.9
177,-28.4,-62.3,40.4
178,-9.8,-66.3,55.1
179,-35.7,-39.3,47.7
180,-42.2,-31.2,15.9
181,-59.5,-25.9,21.9
182,-42,-65.6,41.7
183,-51.4,-56.3,20.5
184,-53.4,-43.5,38.8
185,-38,6.1,-37.9
186,-34.6,18.6,-32.2
187,-49.5,11.1,-30.6
188,-49.7,6.4,-15.2
189,-22.9,9,-38.8
190,-57.6,-6.4,-22.7
191,-59,-30,3.5
192,-57.8,-47.5,5.2
193,-59.8,-27.4,-18.1
194,-49.3,-4.7,-37.4
195,-37.8,-13.2,-29.3
196,-51.8,-18.2,-28.8
197,-57,-14.5,-6.9
198,-26.7,-42.7,-16.1
199,-60.3,-50,-14
200,-42.6,-52.1,-17.4
201,-46.7,-40,-24.3
202,-30,-5.8,-40.9
203,-41.2,-75.4,22.8
204,-31.6,-87.2,12.5
205,-17,-50.7,0.8
206,-43.2,-70.4,-13.8
207,-25.9,-63.1,-12.3
208,-16.8,-84.9,33
209,-48.3,-67.4,1.1
210,-36,-84.2,-3.9
211,-8.9,-70.7,-1.7
212,-10.8,-98.1,7.6
213,-14.7,-84,-13.1
214,-22.3,-96.6,-10.1
215,-6,-81.2,12.2
216,-22.1,-66.7,7.4
217,-23.6,-41.3,19.9
218,-7.8,-22.4,46
219,-6,34.1,26.3
220,-3.8,-5,32.6
221,-5.1,13.2,28.7
222,-8.6,-58.8,17.6
223,-5,-36,32
224,-7.4,-18.2,30
225,-6.5,-53.9,37.4
226,-8.8,-42.6,50.1
227,-7.5,-42.1,13.3
228,-26.8,2.4,-18.7
229,-21.5,-36.9,5.7
230,-32.1,-40.2,-4
231,-22.7,-12.8,-17.4
232,-35.7,-24.8,-14.9
233,-20.7,-30.8,-11.1
234,-30.5,-23.9,-26.6
235,-21.4,-4.1,-29.4
236,-6.5,-66.2,-37.7
237,-8.7,-50.6,-39.6
238,-37,-52.9,-31.1
239,-8.7,-55.2,-52.1
240,-21.2,-70,-48.9
241,-40.3,-74.2,-29.1
242,-30.2,-80.2,-40.3
243,-19.3,-46.4,-53.2
244,-6.5,-50.2,-11.4
245,-27.8,-36,-30.9
246,-42.6,-63.7,-46.3
247,-10.3,-81.7,-32.3
248,-8,-68.4,-19.9
249,-34.6,-50.3,-54
250,-22.7,-57.9,-48.8
251,-10.3,-37.7,-25.1
252,-46.4,-46.8,-42.9
253,-26.3,-69.5,-30.6
254,-21.2,-53.4,-23.6
255,-6.6,-54.7,-26.3
256,-24.3,-37.8,-44.3
257,-10.8,23.9,9.6
258,-12.5,11.6,8.7
259,-10.4,10.9,-8.1
260,-14.6,-3.5,21.1
261,-24.8,5.6,-0.1
262,-9.6,-25.4,-1.4
263,-4.9,-10.3,5.8
264,-11.6,-25.6,14.8
265,-5,-21.5,-15.8
266,-4.5,-38,-53.1
267,-7.2,-33,-39.4
268,-6.1,-18.9,-36.8